,Brand,Product Name,Category,Production Year ,Link to Product Pic,Wholesale Price (Ib),Market Price (Ib),Profit Made,Profit Margin,Latest Url
1613,Walmart,Great Value Breakfast Blend Pod Coffee,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/great%20value%20colombian%20medium-dark%20%e2%80%93%20ground%2022.6%20oz.jpeg,$8.50,$13.47,$4.97,59.00%,https://storage.googleapis.com/coffee-aysa2025/Great%20Value%20Colombian%20Medium-Dark%20%E2%80%93%20Ground%2022.6%20oz.jpeg
1614,Walmart,Great Value Classic Medium Roast Pod Coffee,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/great%20value%20classic%20medium%20roast%20%e2%80%93%20ground%2025.9%20oz.jpeg,$8.50,$13.47,$4.97,59.00%,https://storage.googleapis.com/coffee-aysa2025/Great%20Value%20Classic%20Medium%20Roast%20%E2%80%93%20Ground%2025.9%20oz.jpeg
1615,Walmart,Great Value French Vanilla Flavored Pod Coffee,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/great%20value%20colombian%20medium-dark%20%e2%80%93%20ground%2022.6%20oz.jpeg,$8.50,$13.47,$4.97,59.00%,https://storage.googleapis.com/coffee-aysa2025/Great%20Value%20Colombian%20Medium-Dark%20%E2%80%93%20Ground%2022.6%20oz.jpeg
1616,Walmart,Great Value Sweet & Creamy Cappuccino Pod Coffee,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/great%20value%20colombian%20medium-dark%20%e2%80%93%20ground%2022.6%20oz.jpeg,$8.50,$13.47,$4.97,59.00%,https://storage.googleapis.com/coffee-aysa2025/Great%20Value%20Colombian%20Medium-Dark%20%E2%80%93%20Ground%2022.6%20oz.jpeg
1617,Walmart,Starbucks Veranda Blend Ground Coffee,Ground  ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20veranda%20blonde%20roast%20(12%20oz).jpeg,$10.85,$15.08,$4.23,39.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Veranda%20Blonde%20Roast%20(12%20oz).jpeg
1618,Walmart,Starbucks Breakfast Blend Ground Coffee,Ground  ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20breakfast%20blend%20(12%20oz).jpeg,$9.82,$13.63,$3.81,39.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Breakfast%20Blend%20(12%20oz).jpeg
1619,Walmart,Starbucks Pike Place Ground Coffee,Ground  ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20pike%20place%20k%e2%80%91cup%20(converted%20to%20per%20lb).jpeg,$14.60,$20.24,$5.64,39.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Pike%20Place%20K%E2%80%91Cup%20(converted%20to%20per%20lb).jpeg
1620,Walmart,Starbucks Sumatra Ground Coffee,Ground  ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20sumatra.jpeg,$9.82,$13.63,$3.81,39.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Sumatra.jpeg
1621,Walmart,Starbucks Espresso Roast Ground Coffee,Ground  ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20espresso%20roast%20(12%20oz).jpeg,$9.82,$13.63,$3.81,39.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Espresso%20Roast%20(12%20oz).jpeg
1622,Walmart,Starbucks House Blend Ground Coffee,Ground  ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20french%20roast%20(whole%20bean).jpeg,$4.62,$6.42,$1.80,39.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20French%20Roast%20(Whole%20Bean).jpeg
